candidate_number,split,candidate_group,video_id,video_path,rep_index,start_frame,bottom_frame,end_frame,ranking_score,clip_path,review_label,review_confidence,review_notes,rep_row_count,camera_shoulder_median,camera_hip_median
11,train,high,47326_5,/Users/josephkamil/Desktop/Capstone/videos/videos/47326_5.mp4,0,0,42,78,38.647018909454346,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_01/11_train_high_47326_5_rep0.mp4,clear,medium,Normal inclination without an obvious excessive chest collapse.,,,
12,train,high,50435_1,/Users/josephkamil/Desktop/Capstone/videos/videos/50435_1.mp4,0,0,48,114,37.34300184249878,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_01/12_train_high_50435_1_rep0.mp4,clear,medium,Torso appears comparatively stable during descent and ascent.,,,
13,train,high,33503_2,/Users/josephkamil/Desktop/Capstone/videos/videos/33503_2.mp4,0,6,90,120,36.93769884109497,,clear,medium,Torso remains comparatively stable through bottom and ascent.,,,
14,train,high,48638_2,/Users/josephkamil/Desktop/Capstone/videos/videos/48638_2.mp4,0,0,108,150,36.74527616500854,,excessive_forward_lean,medium,Pronounced forward torso position persists during ascent.,,,
15,train,high,37958_1,/Users/josephkamil/Desktop/Capstone/videos/videos/37958_1.mp4,0,0,42,126,36.645223712921144,,clear,medium,Inclination appears consistent with squat style without obvious chest collapse.,,,
16,train,high,46406_3,/Users/josephkamil/Desktop/Capstone/videos/videos/46406_3.mp4,0,0,42,66,35.30311994552613,,clear,medium,Torso angle appears controlled across the repetition.,,,
17,train,high,50118_3,/Users/josephkamil/Desktop/Capstone/videos/videos/50118_3.mp4,0,6,54,108,34.701291847229,,uncertain,medium,Rear-quarter angle and obstruction limit reliable chest-movement assessment.,,,
18,train,high,37069_1,/Users/josephkamil/Desktop/Capstone/videos/videos/37069_1.mp4,0,6,48,90,34.350956964492795,,excessive_forward_lean,medium,Torso appears to pitch forward from bottom into ascent.,,,
19,train,high,36991_2,/Users/josephkamil/Desktop/Capstone/videos/videos/36991_2.mp4,0,18,66,138,33.2468321800232,,unusable,high,Rear-quarter view does not support reliable sagittal torso assessment.,,,
20,train,high,47525_3,/Users/josephkamil/Desktop/Capstone/videos/videos/47525_3.mp4,0,6,30,60,32.514066028594975,,excessive_forward_lean,high,Strong forward torso position and apparent chest drop through the sticking region.,,,
21,train,high,47251_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47251_1.mp4,0,0,42,90,32.46391415596008,,excessive_forward_lean,medium,Pronounced inclination appears to persist from bottom into ascent.,,,
22,train,high,48802_1,/Users/josephkamil/Desktop/Capstone/videos/videos/48802_1.mp4,0,6,42,102,32.30623610019684,,unusable,high,Rear-quarter framing is insufficient for dependable forward-lean assessment.,,,
23,train,high,47649_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47649_1.mp4,0,18,102,156,32.01712734103203,,uncertain,medium,Spotter and close obstruction make the torso-hip relationship ambiguous.,,,
24,train,high,37902_1,/Users/josephkamil/Desktop/Capstone/videos/videos/37902_1.mp4,0,6,42,102,31.80771532058716,,unusable,high,Mostly rear view; forward torso displacement is not reliably visible.,,,
25,train,high,36309_3,/Users/josephkamil/Desktop/Capstone/videos/videos/36309_3.mp4,0,12,60,90,31.476043224334717,,clear,medium,Torso inclination appears controlled and recovers without obvious chest collapse.,,,
26,train,high,46667_4,/Users/josephkamil/Desktop/Capstone/videos/videos/46667_4.mp4,0,6,36,84,31.446859264373778,,excessive_forward_lean,medium,Torso remains strongly inclined from bottom into early ascent.,,,
27,train,high,48840_5,/Users/josephkamil/Desktop/Capstone/videos/videos/48840_5.mp4,0,6,42,78,31.313057231903077,,excessive_forward_lean,medium,Noticeable forward pitch persists through the sticking region.,,,
28,train,high,45946_1,/Users/josephkamil/Desktop/Capstone/videos/videos/45946_1.mp4,0,6,42,198,31.164410481997766,,uncertain,medium,Long detected interval and distant framing limit reliable ascent assessment.,,,
29,train,high,46109_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46109_1.mp4,0,6,36,78,31.038161325454713,,excessive_forward_lean,high,Pronounced forward torso position and apparent chest drop during ascent.,,,
30,train,high,48004_12,/Users/josephkamil/Desktop/Capstone/videos/videos/48004_12.mp4,0,6,30,72,30.728597927093503,,clear,medium,Torso angle appears stable relative to setup and recovers normally.,,,
31,train,middle,36261_1,/Users/josephkamil/Desktop/Capstone/videos/videos/36261_1.mp4,0,6,36,180,29.214868450164797,,uncertain,medium,Framing and obstruction make the torso-hip relationship ambiguous.,,,
32,train,middle,49053_3,/Users/josephkamil/Desktop/Capstone/videos/videos/49053_3.mp4,0,6,42,78,28.984140396118164,,clear,high,Consistent upright torso position without an obvious forward collapse.,,,
33,train,middle,50091_1,/Users/josephkamil/Desktop/Capstone/videos/videos/50091_1.mp4,0,6,30,78,26.984734523296357,,unusable,high,Rear-quarter view does not support reliable sagittal torso assessment.,,,
34,train,middle,50601_2,/Users/josephkamil/Desktop/Capstone/videos/videos/50601_2.mp4,0,0,48,120,26.85280590057373,,clear,medium,Torso remains comparatively controlled despite the distant view.,,,
35,train,middle,49070_2,/Users/josephkamil/Desktop/Capstone/videos/videos/49070_2.mp4,0,6,54,120,26.100014257431027,,clear,medium,Normal inclination without a clear excessive chest drop.,,,
36,train,middle,49203_1,/Users/josephkamil/Desktop/Capstone/videos/videos/49203_1.mp4,0,30,72,138,25.950347995758058,,excessive_forward_lean,medium,Torso is markedly forward at bottom and remains inclined into ascent.,,,
37,train,middle,33433_2,/Users/josephkamil/Desktop/Capstone/videos/videos/33433_2.mp4,0,6,42,96,25.27780046463013,,unusable,high,Rear view does not support reliable sagittal torso assessment.,,,
38,train,middle,32990_6,/Users/josephkamil/Desktop/Capstone/videos/videos/32990_6.mp4,0,12,60,90,25.14654083251953,,uncertain,medium,Static frames do not clearly distinguish normal inclination from chest collapse.,,,
39,train,middle,49516_1,/Users/josephkamil/Desktop/Capstone/videos/videos/49516_1.mp4,0,0,36,96,24.892279434204102,,excessive_forward_lean,medium,Pronounced forward torso position appears to persist into ascent.,,,
40,train,middle,47140_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47140_1.mp4,0,66,90,156,24.311562633514406,,excessive_forward_lean,high,Clear forward torso pitch through bottom and the sticking region.,,,
41,train,middle,36772_6,/Users/josephkamil/Desktop/Capstone/videos/videos/36772_6.mp4,0,0,24,48,23.03706874847412,,unusable,high,Mostly rear view; forward torso displacement is not reliably visible.,,,
42,train,middle,49045_2,/Users/josephkamil/Desktop/Capstone/videos/videos/49045_2.mp4,0,0,30,120,22.61587253808975,,excessive_forward_lean,medium,Marked torso inclination appears to persist from bottom into ascent.,,,
43,train,middle,46745_2,/Users/josephkamil/Desktop/Capstone/videos/videos/46745_2.mp4,0,6,30,54,22.59416415691376,,clear,medium,Torso remains comparatively controlled and returns without obvious collapse.,,,
44,train,middle,33297_2,/Users/josephkamil/Desktop/Capstone/videos/videos/33297_2.mp4,0,6,54,108,20.365637731552123,,unusable,high,Front view is unsuitable for reliable sagittal forward-lean assessment.,,,
45,train,middle,33671_1,/Users/josephkamil/Desktop/Capstone/videos/videos/33671_1.mp4,0,54,78,120,19.277046775817873,,clear,medium,Torso inclination appears modest and stable through the movement.,,,
46,train,low,45919_1,/Users/josephkamil/Desktop/Capstone/videos/videos/45919_1.mp4,0,54,84,126,17.527947974205016,,uncertain,medium,Distant framing prevents a confident torso-hip assessment.,,,
47,train,low,46302_3,/Users/josephkamil/Desktop/Capstone/videos/videos/46302_3.mp4,0,6,42,72,17.326556766033175,,clear,high,Consistent relatively upright torso position without obvious chest drop.,,,
48,train,low,50352_2,/Users/josephkamil/Desktop/Capstone/videos/videos/50352_2.mp4,0,6,42,102,17.28804724216461,,unusable,high,Rear view prevents reliable assessment of forward torso movement.,,,
49,train,low,47717_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47717_1.mp4,0,54,96,126,15.33570303916931,,unusable,high,Rear-quarter view does not show sagittal torso motion reliably.,,,
50,train,low,47243_15,/Users/josephkamil/Desktop/Capstone/videos/videos/47243_15.mp4,0,12,36,66,15.10275287628174,,unusable,high,Mostly rear view; forward torso displacement cannot be judged.,,,
51,train,low,50438_3,/Users/josephkamil/Desktop/Capstone/videos/videos/50438_3.mp4,0,6,36,60,14.1116543546319,,unusable,high,Rear view prevents reliable torso-angle assessment.,,,
52,train,low,47018_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47018_1.mp4,0,36,72,114,13.849457943439484,,clear,medium,Usable side-quarter view; torso appears stable through bottom and ascent.,,,
53,train,low,32995_3,/Users/josephkamil/Desktop/Capstone/videos/videos/32995_3.mp4,0,36,108,162,12.633182072639464,,excessive_forward_lean,medium,Torso appears markedly inclined and remains forward during ascent.,,,
54,train,low,46984_2,/Users/josephkamil/Desktop/Capstone/videos/videos/46984_2.mp4,0,12,180,354,12.594178009033204,,unusable,high,Rear view and unusually long detected interval make the sample unsuitable.,,,
55,train,low,49712_1,/Users/josephkamil/Desktop/Capstone/videos/videos/49712_1.mp4,0,24,60,102,12.421244764328003,,unusable,high,Rear-quarter framing does not support confident sagittal assessment.,,,
56,train,low,48537_1,/Users/josephkamil/Desktop/Capstone/videos/videos/48537_1.mp4,0,6,48,138,12.094554924964905,,excessive_forward_lean,medium,Pronounced torso inclination persists from bottom into ascent.,,,
57,train,low,46865_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46865_1.mp4,0,6,30,66,11.990276828408241,,excessive_forward_lean,medium,Forward torso position appears excessive through the sticking region.,,,
58,train,low,37908_2,/Users/josephkamil/Desktop/Capstone/videos/videos/37908_2.mp4,0,0,60,108,11.757409870624542,,unusable,high,Rear view prevents dependable forward-lean judgment.,,,
59,train,low,36730_1,/Users/josephkamil/Desktop/Capstone/videos/videos/36730_1.mp4,0,48,78,144,9.242462587356568,,unusable,high,Rear view does not expose the torso-hip relationship.,,,
60,train,low,46252_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46252_1.mp4,0,0,60,126,7.825956761837006,,unusable,high,Mostly rear view; sagittal movement is not visible enough.,,,
61,validation,high,46725_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46725_1.mp4,0,6,48,102,44.79205894470215,,clear,high,Motion review: torso remained controlled and hips and chest rose together.,16,0.5641086101531982,0.36007875204086304
62,validation,high,36808_1,/Users/josephkamil/Desktop/Capstone/videos/videos/36808_1.mp4,0,0,30,66,42.842220592498784,,excessive_forward_lean,high,Clear chest-down position through bottom and the sticking region.,12,0.3576648235321045,0.2309992015361786
63,validation,high,33868_1,/Users/josephkamil/Desktop/Capstone/videos/videos/33868_1.mp4,0,0,60,96,42.18050932884216,,clear,high,Motion review: normal torso inclination with no dynamic chest collapse.,16,0.22393402457237244,0.14787811040878296
64,validation,high,50214_1,/Users/josephkamil/Desktop/Capstone/videos/videos/50214_1.mp4,0,6,54,108,40.92687330245972,,clear,high,Motion review: torso angle remained stable and the rep looked controlled.,16,0.3928322196006775,0.2619127631187439
65,validation,high,46217_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46217_1.mp4,0,12,36,138,40.15000896453857,,excessive_forward_lean,medium,Forward torso pitch appears pronounced and persists into ascent.,21,0.467813104391098,0.3081844449043274
66,validation,high,47234_2,/Users/josephkamil/Desktop/Capstone/videos/videos/47234_2.mp4,0,54,168,276,39.77424840927124,,unusable,high,"Spotter and equipment obscure the lifter, and the detected interval is unusually long.",38,0.3248286247253418,0.15255485475063324
67,validation,high,50762_2,/Users/josephkamil/Desktop/Capstone/videos/videos/50762_2.mp4,0,54,84,132,38.81261076927185,,unusable,high,Spotter blocks key torso and hip landmarks through most phases.,13,0.30491703748703003,0.16776303946971893
68,validation,high,47487_2,/Users/josephkamil/Desktop/Capstone/videos/videos/47487_2.mp4,0,0,42,108,36.74146871566772,,excessive_forward_lean,high,Very pronounced forward torso position at bottom and during early ascent.,17,0.2685355842113495,0.1649595946073532
69,validation,high,47672_4,/Users/josephkamil/Desktop/Capstone/videos/videos/47672_4.mp4,0,12,36,72,35.46818027496338,,clear,medium,Torso remains relatively stable without an obvious chest-drop pattern.,11,0.4721229076385498,0.28224021196365356
70,validation,high,49364_3,/Users/josephkamil/Desktop/Capstone/videos/videos/49364_3.mp4,0,6,36,66,35.31309146881103,,uncertain,medium,Distant framing and partial obstruction make the degree of lean difficult to judge.,11,0.4432600736618042,0.3343695104122162
71,validation,middle,49891_1,/Users/josephkamil/Desktop/Capstone/videos/videos/49891_1.mp4,0,0,30,90,32.97021040916443,,excessive_forward_lean,medium,Torso appears substantially forward at bottom and stays inclined into ascent.,16,0.4557608366012573,0.2589963376522064
72,validation,middle,50300_2,/Users/josephkamil/Desktop/Capstone/videos/videos/50300_2.mp4,0,6,36,78,32.76950116157531,,excessive_forward_lean,high,Clear forward torso pitch through bottom and the sticking region.,12,0.4885046184062958,0.2830904424190521
73,validation,middle,50400_2,/Users/josephkamil/Desktop/Capstone/videos/videos/50400_2.mp4,0,0,48,114,31.24968090057373,,excessive_forward_lean,medium,Torso is substantially inclined at bottom and remains forward during ascent.,20,0.49693331122398376,0.334666907787323
74,validation,middle,49125_1,/Users/josephkamil/Desktop/Capstone/videos/videos/49125_1.mp4,0,78,132,186,26.40916166305542,,excessive_forward_lean,high,Clear chest-down position through bottom and early ascent.,19,0.4522799551486969,0.2691848576068878
75,validation,middle,47808_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47808_1.mp4,0,12,42,90,22.773881292343138,,unusable,high,Rear view and spotter obstruction make sagittal torso assessment unreliable.,14,0.25134220719337463,0.20035040378570557
76,validation,low,46810_8,/Users/josephkamil/Desktop/Capstone/videos/videos/46810_8.mp4,0,0,30,78,21.842489409446713,,clear,medium,Torso position appears stable with no obvious additional collapse.,14,0.5653844475746155,0.3644442856311798
77,validation,low,48439_3,/Users/josephkamil/Desktop/Capstone/videos/videos/48439_3.mp4,0,0,30,78,20.65862250328064,,excessive_forward_lean,medium,Torso remains markedly inclined through bottom and ascent.,14,0.3715001344680786,0.2781790792942047
78,validation,low,49372_10,/Users/josephkamil/Desktop/Capstone/videos/videos/49372_10.mp4,0,6,36,72,20.504666137695313,,excessive_forward_lean,high,Pronounced forward pitch is visible at bottom and persists into ascent.,12,0.5550249814987183,0.3255528509616852
79,validation,low,46093_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46093_1.mp4,0,6,36,60,20.05190658569336,,clear,medium,Torso inclination appears controlled and consistent through the rep.,9,0.36675184965133667,0.21836796402931213
80,validation,low,36777_4,/Users/josephkamil/Desktop/Capstone/videos/videos/36777_4.mp4,0,12,54,102,16.95058794617653,,uncertain,medium,Camera angle and partial obstruction make the degree of forward lean difficult to judge.,16,0.5143353939056396,0.35495561361312866
94,train,targeted_false_positive,36644_6,/Users/josephkamil/Desktop/Capstone/videos/videos/36644_6.mp4,0,0,24,54,0.6010555649506648,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_09_motion/candidate_94_motion.mp4,clear,high,contact sheet review,10,0.3225824534893036,0.18648211658000946
96,train,targeted_false_positive,36254_3,/Users/josephkamil/Desktop/Capstone/videos/videos/36254_3.mp4,0,0,30,72,0.5980161039771194,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_09_motion/candidate_96_motion.mp4,clear,high,contact sheet review,13,0.5506279468536377,0.3312305212020874
100,train,targeted_false_positive,48092_1,/Users/josephkamil/Desktop/Capstone/videos/videos/48092_1.mp4,0,18,72,120,0.6033254021259373,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_09_motion/candidate_100_motion.mp4,excessive_forward_lean,high,torso stays heavily pitched during ascent,16,0.35004326701164246,0.31313276290893555
101,train,targeted_false_positive,49618_2,/Users/josephkamil/Desktop/Capstone/videos/videos/49618_2.mp4,0,0,78,144,0.595527806821985,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_09_motion/candidate_101_motion.mp4,clear,high,contact sheet review,25,0.5824602842330933,0.3419685959815979
102,train,targeted_false_positive,46466_3,/Users/josephkamil/Desktop/Capstone/videos/videos/46466_3.mp4,0,6,78,114,0.5952979153947615,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_09_motion/candidate_102_motion.mp4,excessive_forward_lean,high,pronounced forward torso through ascent,14,0.14736445248126984,0.1289367824792862
103,train,targeted_false_positive,37732_2,/Users/josephkamil/Desktop/Capstone/videos/videos/37732_2.mp4,0,6,42,78,0.5950949152196154,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_09_motion/candidate_103_motion.mp4,clear,high,contact sheet review,13,0.5479490756988525,0.35905757546424866
